year,start_price,end_price,avg_volume,annual_return_pct
2010,12.1434927,9.554524422,3572101.4509803923,-21.319799352290136
2011,9.554524422,6.842272282,6142535.646226415,-28.387097255775906
2012,6.718987942,11.51806927,23893279.952606633,71.4256576946838
2013,11.51806927,13.55924702,7986824.442553191,17.721526951712807
2014,13.77794456,9.403993607,12090427.884,-31.746033916397177
2015,9.549791336,12.2033205,5307806.47265625,27.78625281577567
2016,12.2033205,12.10126305,2740763.1265306124,-0.8363088554463549
2017,12.17416191,10.68701839,2027212.1361867704,-12.21557205328806
2018,10.70159912,7.475664616,2817576.6590038314,-30.144415501148014
2019,7.376230717,10.61237049,3849327.0923076924,43.8725400161585
2020,10.6304493,12.07697678,7014897.685258964,13.60739738441723
2021,11.97041512,10.69167614,5453728.392,-10.682494860712898
2022,10.67391586,8.933410645,3622144.560483871,-16.306154534367845
2023,8.986691475,12.96088123,1787464.7871485944,44.2230576854203
2024,13.12657452,9.865384102,3149505.8554216865,-24.844184695947625
2025,9.903845787,10.43000031,3184399.059760956,5.312628390181939
2026,10.5,10.96000004,1368811.0476190476,4.380952761904777
