Date,Close,High,Low,Open,Volume,zero_volume_day,daily_return,rolling_volatility_30d,SMA_20,SMA_50,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2010-03-04,12.1434927,12.1434927,12.08185119,12.08185119,1833613,False,,,,,,,0.0,0.0,0.0,,,
2010-03-07,12.1434927,12.20513505,12.08185119,12.1434927,2883045,False,0.0,,,,,,0.0,0.0,0.0,,,
2010-03-08,12.1434927,12.1434927,12.08185119,12.1434927,1786721,False,0.0,,,,,,0.0,0.0,0.0,,,
2010-03-09,12.02020836,12.14349221,12.02020836,12.08185071,1571287,False,-0.010152296628794466,,,,,,-0.009834648205126584,-0.0019669296410253167,-0.007867718564101267,,,
2010-03-10,12.08185101,12.14349251,12.02020865,12.02020865,1610631,False,0.005128251370843939,,,,,,-0.01251041875666381,-0.004075627464153016,-0.008434791292510794,,,
2010-03-11,12.02020836,12.14349221,12.02020836,12.08185071,1474204,False,-0.005102086588303245,,,,,,-0.01938161370437186,-0.007136824712196784,-0.012244788992175074,,,
2010-03-14,12.02020836,12.08185071,11.95856601,12.08185071,1927883,False,0.0,,,,,,-0.024544155458794847,-0.010618290861516399,-0.013925864597278449,,,
2010-03-15,12.08185101,12.08185101,12.02020865,12.02020865,1529704,False,0.005128251370843939,,,,,,-0.02339181403609203,-0.013172995496431524,-0.010218818539660505,,,
2010-03-16,12.02020836,12.08185071,12.02020836,12.02020836,1727295,False,-0.005102086588303245,,,,,,-0.027139771450940486,-0.01596635068733332,-0.011173420763607167,,,
2010-03-17,12.02020836,12.02020836,12.02020836,12.02020836,0,True,0.0,,,,,,-0.02976692017823268,-0.01872646458551319,-0.01104045559271949,,,
2010-03-18,12.1434927,12.1434927,12.02020884,12.02020884,5867658,False,0.01025642287618389,,,,,,-0.021651355218953228,-0.0193114427122012,-0.0023399125067520288,,,
2010-03-21,12.08185101,12.14349251,12.02020865,12.08185101,2002758,False,-0.005076108787054334,,,,,,-0.0199635533252831,-0.01944186483481758,-0.0005216884904655217,,,
2010-03-22,12.08185101,12.08185101,12.02020865,12.08185101,2271821,False,0.0,,,,,,-0.018413696533089663,-0.019236231174471995,0.0008225346413823324,,,
2010-03-23,12.08185101,12.14349251,12.02020865,12.08185101,2010920,False,0.0,,,,,,-0.016989578573015862,-0.01878690065418077,0.0017973220811649086,,,
2010-03-24,12.02020836,12.14349221,12.02020836,12.08185071,4044379,False,-0.005102086588303245,,,,,40.00003114741125,-0.020597565600615653,-0.019149033643467747,-0.0014485319571479055,,,
